Week commencing,"Queensland ($ per megawatt hour)","New South Wales ($ per megawatt hour)","Victoria ($ per megawatt hour)","South Australia ($ per megawatt hour)","Tasmania ($ per megawatt hour)"
04/04/2010,21,23,23,24,24
11/04/2010,22,33,26,31,26
18/04/2010,23,24,271,47,23
25/04/2010,21,23,26,28,25
02/05/2010,21,24,25,26,22
09/05/2010,26,32,34,33,52
16/05/2010,21,32,39,36,125
23/05/2010,19,28,30,31,51
30/05/2010,22,31,34,36,34
06/06/2010,25,32,31,36,33
13/06/2010,20,25,24,32,25
20/06/2010,21,28,36,39,34
27/06/2010,28,53,33,41,31
04/07/2010,22,28,28,32,33
11/07/2010,20,24,23,24,24
18/07/2010,24,31,32,35,29
25/07/2010,20,28,27,29,39
01/08/2010,22,31,32,33,101
08/08/2010,16,69,30,31,154
15/08/2010,21,25,25,23,23
22/08/2010,25,27,26,26,24
29/08/2010,23,25,23,40,21
05/09/2010,22,25,23,23,22
12/09/2010,20,24,23,24,25
19/09/2010,22,24,22,23,20
26/09/2010,22,25,22,21,19
03/10/2010,21,23,20,6,18
10/10/2010,21,23,20,51,17
17/10/2010,21,24,27,24,19
24/10/2010,19,22,19,22,20
31/10/2010,14,22,18,22,18
07/11/2010,21,24,20,25,20
14/11/2010,18,23,18,22,65
21/11/2010,18,24,20,41,18
28/11/2010,21,23,19,16,18
05/12/2010,22,24,16,16,17
12/12/2010,31,23,18,18,17
19/12/2010,18,21,15,17,16
26/12/2010,21,24,16,20,16
02/01/2011,28,28,26,28,26
09/01/2011,39,36,30,29,26
16/01/2011,74,27,24,27,25
23/01/2011,47,76,27,30,27
30/01/2011,400,627,189,582,32
06/02/2011,32,31,27,28,28
13/02/2011,32,34,31,30,29
20/02/2011,33,34,28,27,29
27/02/2011,31,29,26,25,27
06/03/2011,24,27,25,20,26
13/03/2011,25,27,26,27,27
20/03/2011,37,27,25,21,24
27/03/2011,24,25,26,28,26
03/04/2011,26,27,26,27,27
10/04/2011,27,28,27,30,27
17/04/2011,26,26,27,29,27
24/04/2011,24,25,25,25,28
01/05/2011,28,29,32,32,31
08/05/2011,26,28,33,28,45
15/05/2011,30,30,34,32,35
22/05/2011,29,31,35,38,45
29/05/2011,24,27,40,44,36
05/06/2011,27,30,32,36,31
12/06/2011,27,29,31,33,31
19/06/2011,27,27,26,29,27
26/06/2011,23,26,24,28,27
03/07/2011,24,28,28,31,29
10/07/2011,32,37,39,50,35
17/07/2011,26,30,29,35,35
24/07/2011,29,33,31,33,58
31/07/2011,28,29,28,28,9
07/08/2011,32,34,36,40,37
14/08/2011,30,31,31,36,28
21/08/2011,28,28,26,34,22
28/08/2011,29,30,29,32,27
04/09/2011,34,28,27,34,27
11/09/2011,29,31,31,64,30
18/09/2011,28,29,28,34,26
25/09/2011,27,29,25,31,25
02/10/2011,28,30,26,66,29
09/10/2011,28,29,29,29,31
16/10/2011,26,28,23,55,31
23/10/2011,29,29,22,27,32
30/10/2011,27,28,23,29,37
06/11/2011,42,58,30,37,41
13/11/2011,34,36,28,32,31
20/11/2011,31,32,27,31,30
27/11/2011,35,35,24,24,21
04/12/2011,27,27,24,24,21
11/12/2011,26,26,24,24,24
18/12/2011,27,27,25,27,32
25/12/2011,24,24,20,24,30
01/01/2012,26,26,26,31,34
08/01/2012,55,22,19,19,39
15/01/2012,24,25,25,27,40
22/01/2012,25,27,28,33,44
29/01/2012,36,29,28,30,37
05/02/2012,29,27,25,25,36
12/02/2012,30,26,26,27,38
19/02/2012,40,29,30,33,38
26/02/2012,32,26,25,25,38
04/03/2012,32,23,21,23,39
11/03/2012,26,28,26,29,39
18/03/2012,26,26,25,26,31
25/03/2012,24,27,27,30,31
01/04/2012,27,32,31,21,30
08/04/2012,27,31,29,31,29
15/04/2012,34,39,37,37,49
22/04/2012,30,34,33,31,35
29/04/2012,29,33,32,32,38
06/05/2012,25,28,28,29,36
13/05/2012,25,28,25,30,34
20/05/2012,26,29,25,29,27
27/05/2012,26,29,27,30,28
03/06/2012,31,34,35,36,34
10/06/2012,36,39,39,39,37
17/06/2012,37,38,39,39,36
24/06/2012,39,39,41,10,36
01/07/2012,68,75,108,116,74
08/07/2012,63,67,70,74,58
15/07/2012,60,62,62,71,53
22/07/2012,69,68,66,71,56
29/07/2012,65,67,67,77,55
05/08/2012,58,60,60,65,51
12/08/2012,54,57,56,67,50
19/08/2012,52,56,53,67,46
26/08/2012,49,54,51,56,40
02/09/2012,56,53,51,48,42
09/09/2012,57,54,70,73,38
16/09/2012,52,54,51,55,41
23/09/2012,48,52,47,46,37
30/09/2012,49,54,49,49,37
07/10/2012,60,63,57,56,49
14/10/2012,50,59,49,50,45
21/10/2012,54,53,48,48,42
28/10/2012,50,56,56,58,47
04/11/2012,51,53,51,59,49
11/11/2012,50,53,52,49,48
18/11/2012,51,52,51,57,51
25/11/2012,69,75,221,117,57
02/12/2012,67,52,52,52,51
09/12/2012,50,51,76,78,51
16/12/2012,86,50,47,51,44
23/12/2012,48,48,45,47,41
30/12/2012,60,49,104,108,70
06/01/2013,218,52,48,69,49
13/01/2013,223,54,47,51,46
20/01/2013,80,50,48,52,56
27/01/2013,198,50,45,46,55
03/02/2013,52,51,50,53,44
10/02/2013,65,53,53,57,45
17/02/2013,54,52,69,84,46
24/02/2013,68,56,53,57,49
03/03/2013,61,54,67,80,57
10/03/2013,78,54,65,56,54
17/03/2013,82,51,45,55,49
24/03/2013,89,53,46,57,43
31/03/2013,54,51,46,58,50
07/04/2013,55,55,52,70,46
14/04/2013,59,57,54,71,46
21/04/2013,55,53,48,95,41
28/04/2013,61,57,53,95,40
05/05/2013,57,57,52,83,52
12/05/2013,56,55,54,151,42
19/05/2013,59,57,57,120,43
26/05/2013,62,52,61,125,46
02/06/2013,53,51,49,199,39
09/06/2013,54,52,49,62,41
16/06/2013,96,63,86,138,56
23/06/2013,64,64,69,90,66
30/06/2013,56,55,52,57,42
07/07/2013,65,64,68,89,54
14/07/2013,56,54,55,62,64
21/07/2013,71,62,63,78,50
28/07/2013,58,55,55,69,46
04/08/2013,54,54,55,67,45
11/08/2013,52,52,52,73,42
18/08/2013,81,57,59,91,54
25/08/2013,64,55,53,69,45
01/09/2013,62,53,51,63,41
08/09/2013,55,52,50,67,40
15/09/2013,57,55,51,63,37
22/09/2013,55,53,48,54,53
29/09/2013,54,52,51,59,39
06/10/2013,55,52,51,67,39
13/10/2013,54,51,49,63,40
20/10/2013,91,53,51,56,40
27/10/2013,55,51,47,52,37
03/11/2013,53,50,45,49,40
10/11/2013,54,50,48,50,43
17/11/2013,59,51,47,50,52
24/11/2013,55,51,49,53,57
01/12/2013,55,51,51,54,45
08/12/2013,56,52,47,52,39
15/12/2013,57,102,75,244,35
22/12/2013,60,52,43,52,33
29/12/2013,103,50,42,47,34
05/01/2014,64,50,46,51,36
12/01/2014,57,63,204,264,25
19/01/2014,111,50,47,52,42
26/01/2014,47,50,58,78,35
02/02/2014,50,50,57,71,47
09/02/2014,83,53,51,65,45
16/02/2014,150,50,47,49,42
23/02/2014,50,50,46,48,43
02/03/2014,49,48,44,48,49
09/03/2014,48,49,47,52,44
16/03/2014,56,50,46,48,42
23/03/2014,50,49,50,53,45
30/03/2014,51,50,48,52,42
06/04/2014,49,50,45,52,40
13/04/2014,46,48,43,49,38
20/04/2014,50,48,42,45,33
27/04/2014,55,50,46,47,36
04/05/2014,59,54,51,59,39
11/05/2014,49,50,52,54,40
18/05/2014,48,55,47,52,33
25/05/2014,49,49,46,49,37
01/06/2014,50,51,59,67,51
08/06/2014,49,50,50,54,45
15/06/2014,65,51,49,62,45
22/06/2014,46,48,43,40,34
29/06/2014,35,53,48,60,35
06/07/2014,41,47,40,50,35
13/07/2014,38,44,40,64,34
20/07/2014,32,37,42,70,39
27/07/2014,24,29,29,29,29
03/08/2014,27,36,36,50,32
10/08/2014,23,34,33,41,30
17/08/2014,25,35,35,44,44
24/08/2014,33,43,39,42,45
31/08/2014,41,48,45,56,44
07/09/2014,37,44,38,42,40
14/09/2014,43,42,41,45,39
21/09/2014,25,34,32,33,33
28/09/2014,18,30,26,29,30
05/10/2014,21,32,29,32,28
12/10/2014,18,33,29,33,35
19/10/2014,29,31,24,39,37
26/10/2014,32,32,23,23,40
02/11/2014,26,31,26,28,33
09/11/2014,34,31,28,31,38
16/11/2014,72,46,35,34,43
23/11/2014,44,35,31,49,47
30/11/2014,30,34,33,34,51
07/12/2014,164,33,30,31,50
14/12/2014,345,31,28,29,44
21/12/2014,24,28,24,28,41
28/12/2014,49,53,26,38,33
04/01/2015,66,44,35,65,42
11/01/2015,327,32,26,33,27
18/01/2015,118,34,30,32,36
25/01/2015,47,27,18,19,40
01/02/2015,27,30,28,52,44
08/02/2015,28,36,27,49,39
15/02/2015,37,37,31,45,39
22/02/2015,48,35,32,57,50
01/03/2015,420,35,31,33,41
08/03/2015,76,32,26,29,42
15/03/2015,67,26,22,22,38
22/03/2015,44,32,27,29,39
29/03/2015,33,35,26,32,40
05/04/2015,25,30,23,28,34
12/04/2015,40,44,31,51,41
19/04/2015,30,34,32,36,41
26/04/2015,37,47,40,57,43
03/05/2015,30,31,27,28,26
10/05/2015,31,36,30,33,24
17/05/2015,30,35,34,56,31
24/05/2015,35,39,34,50,37
31/05/2015,41,43,39,45,35
07/06/2015,33,36,33,104,30
14/06/2015,30,36,37,61,34
21/06/2015,27,33,31,39,31
28/06/2015,28,36,35,59,33
05/07/2015,32,36,34,46,35
12/07/2015,80,51,44,96,42
19/07/2015,45,38,33,75,35
26/07/2015,45,37,33,114,30
02/08/2015,58,41,40,69,35
09/08/2015,37,37,34,41,30
16/08/2015,43,36,35,64,32
23/08/2015,33,35,34,62,31
30/08/2015,41,44,52,87,45
06/09/2015,47,41,42,61,40
13/09/2015,41,41,38,53,42
20/09/2015,52,128,55,61,58
27/09/2015,38,40,38,47,49
04/10/2015,36,38,37,38,52
11/10/2015,38,39,38,46,56
18/10/2015,40,40,40,42,64
25/10/2015,36,35,34,44,70
01/11/2015,31,34,24,56,73
08/11/2015,33,36,33,57,79
15/11/2015,70,89,45,50,89
22/11/2015,52,47,43,44,92
29/11/2015,43,41,44,44,93
06/12/2015,42,41,45,54,88
13/12/2015,52,55,83,125,91
20/12/2015,45,45,39,55,104
27/12/2015,43,46,42,81,104
03/01/2016,46,36,32,42,99
10/01/2016,63,87,139,98,112
17/01/2016,48,47,44,65,125
24/01/2016,66,34,29,31,119
31/01/2016,126,33,28,29,127
07/02/2016,48,38,36,45,125
14/02/2016,277,39,34,39,183
21/02/2016,83,50,49,57,202
28/02/2016,82,44,51,68,250
06/03/2016,55,54,82,80,259
13/03/2016,120,47,39,44,253
20/03/2016,76,46,43,49,243
27/03/2016,42,35,23,42,250
03/04/2016,64,68,46,49,249
10/04/2016,77,77,67,72,230
17/04/2016,62,59,49,51,245
24/04/2016,79,76,41,42,221
01/05/2016,70,55,39,40,93
08/05/2016,64,61,56,58,37
15/05/2016,67,65,56,112,10
22/05/2016,70,74,58,69,32
29/05/2016,124,145,144,164,80
05/06/2016,76,84,79,92,46
12/06/2016,85,91,87,107,76
19/06/2016,71,82,80,108,86
26/06/2016,105,126,109,189,100
03/07/2016,102,115,123,500,116
10/07/2016,62,67,61,340,69
17/07/2016,43,44,46,148,50
24/07/2016,39,41,39,64,53
31/07/2016,52,54,52,94,48
07/08/2016,39,41,34,47,30
14/08/2016,39,38,31,51,31
21/08/2016,67,69,67,100,65
28/08/2016,52,48,42,54,52
04/09/2016,48,39,27,58,42
11/09/2016,47,47,52,68,54
18/09/2016,47,51,50,67,51
25/09/2016,42,43,37,62,36
02/10/2016,44,43,29,70,35
09/10/2016,58,62,35,60,32
16/10/2016,58,59,37,57,33
23/10/2016,62,66,46,79,42
30/10/2016,59,59,28,48,32
06/11/2016,93,94,36,42,26
13/11/2016,72,150,29,67,33
20/11/2016,56,53,38,57,40
27/11/2016,71,71,54,228,69
04/12/2016,71,61,33,70,49
11/12/2016,79,52,34,76,38
18/12/2016,61,47,25,75,40
25/12/2016,70,50,30,46,33
01/01/2017,86,76,60,96,96
08/01/2017,508,92,66,79,79
15/01/2017,144,90,77,104,90
22/01/2017,113,76,64,92,85
29/01/2017,361,116,79,102,85
05/02/2017,468,533,129,646,109
12/02/2017,228,111,76,86,82
19/02/2017,96,100,83,91,95
26/02/2017,78,79,83,155,99
05/03/2017,65,64,65,85,99
12/03/2017,92,90,79,88,108
19/03/2017,103,127,122,198,138
26/03/2017,112,110,126,122,118
02/04/2017,98,114,113,119,121
09/04/2017,105,115,113,128,132
16/04/2017,92,102,109,116,144
23/04/2017,90,100,110,129,135
30/04/2017,98,106,109,132,117
07/05/2017,93,95,138,144,129
14/05/2017,90,91,115,129,115
21/05/2017,75,78,88,94,85
28/05/2017,84,92,101,112,98
04/06/2017,84,94,103,118,102
11/06/2017,78,85,101,113,116
18/06/2017,68,74,92,98,100
25/06/2017,76,83,103,111,102
02/07/2017,76,91,135,130,132
09/07/2017,73,88,122,126,123
16/07/2017,82,92,111,104,112
23/07/2017,86,100,112,109,105
30/07/2017,79,101,122,118,111
06/08/2017,77,93,95,91,95
13/08/2017,75,96,87,77,80
20/08/2017,90,110,107,110,99
27/08/2017,99,119,119,146,110
03/09/2017,82,94,93,89,86
10/09/2017,85,93,90,81,82
17/09/2017,75,83,78,72,72
24/09/2017,83,78,61,58,53
01/10/2017,89,78,63,64,59
08/10/2017,107,86,69,70,62
15/10/2017,69,79,79,75,71
22/10/2017,59,93,87,76,82
29/10/2017,70,77,80,67,82
05/11/2017,68,74,84,77,90
12/11/2017,63,72,92,90,89
19/11/2017,66,84,116,111,109
26/11/2017,68,92,111,116,91
03/12/2017,70,75,86,85,79
10/12/2017,72,83,98,97,110
17/12/2017,78,87,92,84,103
24/12/2017,73,71,82,84,81
31/12/2017,69,69,74,81,80
07/01/2018,97,80,84,87,87
14/01/2018,66,70,383,525,95
21/01/2018,79,88,114,129,114
28/01/2018,71,77,120,122,114
04/02/2018,67,76,189,221,96
11/02/2018,90,79,84,90,89
18/02/2018,72,74,81,83,86
25/02/2018,73,71,75,79,87
04/03/2018,62,65,81,83,92
11/03/2018,61,68,83,86,91
18/03/2018,64,68,73,78,72
25/03/2018,62,67,69,79,76
01/04/2018,66,82,81,90,77
08/04/2018,61,77,70,85,73
15/04/2018,65,77,77,82,75
22/04/2018,67,74,78,155,95
29/04/2018,59,63,64,71,92
06/05/2018,60,68,75,84,75
13/05/2018,70,95,101,113,76
20/05/2018,72,86,91,103,68
27/05/2018,74,82,83,89,78
03/06/2018,111,160,107,109,82
10/06/2018,67,78,75,76,75
17/06/2018,81,102,107,133,69
24/06/2018,78,89,98,121,70
01/07/2018,65,68,63,68,54
08/07/2018,76,86,87,223,62
15/07/2018,75,82,80,79,49
22/07/2018,73,79,74,96,29
29/07/2018,70,73,61,67,30
05/08/2018,85,91,71,66,27
12/08/2018,77,85,68,67,20
19/08/2018,92,103,98,88,27
26/08/2018,96,119,110,92,23
02/09/2018,109,131,131,120,25
09/09/2018,71,79,63,65,24
16/09/2018,79,90,93,100,21
23/09/2018,75,87,99,101,172
30/09/2018,74,84,105,102,107
07/10/2018,76,81,85,83,82
14/10/2018,83,108,102,96,90
21/10/2018,78,82,97,97,93
28/10/2018,87,90,111,111,111
04/11/2018,103,97,98,103,84
11/11/2018,85,86,100,104,88
18/11/2018,86,79,98,98,75
25/11/2018,97,91,104,103,94
02/12/2018,77,77,105,104,59
09/12/2018,99,94,115,106,80
16/12/2018,92,100,91,91,78
23/12/2018,58,77,90,100,70
30/12/2018,82,93,98,104,98
06/01/2019,79,83,93,93,120
13/01/2019,104,147,158,157,155
20/01/2019,105,122,1019,1005,189
27/01/2019,102,165,158,146,171
03/02/2019,91,112,122,112,145
10/02/2019,92,88,97,98,127
17/02/2019,88,91,103,103,131
24/02/2019,69,78,322,306,120
03/03/2019,79,92,114,117,122
10/03/2019,84,86,97,95,130
17/03/2019,92,96,112,111,138
24/03/2019,84,88,95,95,112
31/03/2019,74,88,111,109,116
07/04/2019,76,86,116,110,120
14/04/2019,71,85,93,81,103
21/04/2019,59,64,79,85,83
28/04/2019,74,75,100,87,106
05/05/2019,73,79,103,97,97
12/05/2019,77,85,91,88,87
19/05/2019,71,80,92,82,92
26/05/2019,80,85,90,83,89
02/06/2019,130,139,134,120,116
09/06/2019,74,81,78,75,82
16/06/2019,82,92,123,125,106
23/06/2019,70,72,96,87,97
30/06/2019,66,71,78,76,77
07/07/2019,70,79,94,66,77
14/07/2019,75,74,89,83,71
21/07/2019,61,69,79,74,66
28/07/2019,68,74,111,100,93
04/08/2019,70,85,109,80,95
11/08/2019,72,90,131,102,98
18/08/2019,48,63,69,54,55
25/08/2019,69,121,134,103,35
01/09/2019,33,81,95,82,50
08/09/2019,51,96,97,89,36
15/09/2019,65,102,119,52,48
22/09/2019,101,119,129,98,91
29/09/2019,63,110,108,68,96
06/10/2019,66,113,117,82,135
13/10/2019,86,92,98,75,112
20/10/2019,77,85,87,68,98
27/10/2019,86,114,103,78,89
03/11/2019,59,70,70,43,91
10/11/2019,59,74,69,54,49
17/11/2019,66,69,71,71,58
24/11/2019,64,65,63,51,72
01/12/2019,57,51,36,37,33
08/12/2019,68,57,54,53,53
15/12/2019,56,56,102,285,53
22/12/2019,47,47,49,66,62
29/12/2019,64,319,101,76,78
05/01/2020,52,51,54,57,63
12/01/2020,46,48,59,57,72
19/01/2020,79,98,43,46,50
26/01/2020,105,399,744,317,24
02/02/2020,51,47,31,10,42
09/02/2020,56,59,59,133,30
16/02/2020,61,60,54,74,44
23/02/2020,49,51,52,61,41
01/03/2020,60,53,49,53,35
08/03/2020,38,42,35,36,40
15/03/2020,33,46,46,47,37
22/03/2020,39,45,45,45,39
29/03/2020,46,53,53,46,32
05/04/2020,37,43,42,39,36
12/04/2020,39,41,39,39,22
19/04/2020,37,38,28,30,14
26/04/2020,23,34,25,27,18
03/05/2020,28,38,30,29,31
10/05/2020,34,42,42,44,27
17/05/2020,41,50,49,47,41
24/05/2020,40,47,46,44,46
31/05/2020,38,46,46,47,47
07/06/2020,44,77,81,86,38
14/06/2020,31,40,36,35,29
21/06/2020,30,43,48,49,31
28/06/2020,29,38,41,41,39
